page_id,thread,user_id,is_attacker,is_target
77265.0,10,3606755.0,1,0
77265.0,10,21861149.0,0,1
77537.0,5,25698848.0,0,1
77537.0,5,11184537.0,1,0
77537.0,5,2387872.0,0,1
79992.0,21,894320.0,0,1
79992.0,21,2731577.0,0,1
79992.0,21,23051379.0,0,1
79992.0,21,3873382.0,1,0
83431.0,2,23149080.0,1,0
83865.0,2,23176945.0,1,0
87226.0,7,25053928.0,1,0
87226.0,8,20198953.0,0,1
87226.0,8,17763227.0,1,0
91442.0,1,21077049.0,0,1
91442.0,1,86076.0,1,0
91442.0,1,21059380.0,0,1
97544.0,6,10614794.0,1,0
97544.0,6,1333933.0,0,1
97544.0,6,4967956.0,0,1
97544.0,6,7896724.0,0,1
97544.0,6,12069276.0,0,1
101223.0,11,23633564.0,1,0
101556.0,5,3510400.0,0,1
101556.0,5,13211778.0,0,1
101556.0,5,123395.0,0,1
101556.0,5,32005.0,0,1
101556.0,5,17859592.0,0,1
101556.0,5,269193.0,0,1
101556.0,5,61960.0,0,1
101556.0,5,507787.0,0,1
101556.0,5,342538.0,0,1
101556.0,5,5776276.0,0,1
101556.0,5,19269270.0,0,1
101556.0,5,245398.0,0,1
101556.0,5,1224855.0,0,1
101556.0,5,11184537.0,0,1
101556.0,5,3835673.0,0,1
101556.0,5,1426328.0,0,1
101556.0,5,1763353.0,0,1
101556.0,5,610202.0,0,1
101556.0,5,490397.0,0,1
101556.0,5,586015.0,0,1
101556.0,5,840224.0,0,1
101556.0,5,7798562.0,0,1
101556.0,5,12443044.0,0,1
101556.0,5,7131173.0,0,1
101556.0,5,11243047.0,0,1
101556.0,5,5735847.0,0,1
101556.0,5,14450599.0,0,1
101556.0,5,219819.0,0,1
101556.0,5,18057899.0,0,1
101556.0,5,11112747.0,0,1
101556.0,5,16819125.0,0,1
101556.0,5,12797494.0,0,1
101556.0,5,1776566.0,0,1
101556.0,5,2629691.0,0,1
101556.0,5,254396.0,0,1
101556.0,5,146242.0,0,1
101556.0,5,14370884.0,1,0
101556.0,5,10006598.0,0,1
101556.0,5,901576.0,0,1
101556.0,5,8571592.0,0,1
101556.0,5,353866.0,0,1
101556.0,5,1265352.0,0,1
101556.0,5,15815756.0,0,1
101556.0,5,1381068.0,0,1
101556.0,5,2037453.0,0,1
101556.0,5,1593681.0,0,1
101556.0,5,6847444.0,0,1
101556.0,5,64853.0,0,1
101556.0,5,893398.0,0,1
101556.0,5,281303.0,0,1
101556.0,5,28381.0,0,1
101556.0,5,196446.0,0,1
101556.0,5,11287518.0,0,1
101556.0,5,16892127.0,0,1
101556.0,5,1902946.0,0,1
101556.0,5,93027.0,0,1
101556.0,5,602857.0,0,1
101556.0,5,2241258.0,0,1
101556.0,5,19533932.0,0,1
101556.0,5,2483182.0,1,0
101556.0,5,98543.0,0,1
101556.0,5,326384.0,0,1
